Canonical SMILES,Sweet
OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(cc2)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,0
O=C1OCC23C(C1)OC(C2CC(=O)C1(C3CCC2(C31OC3C(=O)OC2c1cocc1)C)C)(C)C,0
OCC1OC(Oc2cc3OC(CC(=O)c3c(c2)O)c2ccc(cc2)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,0
OCC1OC(Oc2cc(O)c3c(c2)OC(CC3=O)c2ccc(c(c2)O)O)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,0
C=CC1CN2CCC1CC2C(c1ccnc2c1cc(OC)cc2)O,0
C=COCCOC=C,0
Cn1cnc2c1c(=O)[nH]c(=O)n2C,0
OCC1OC(OC2CC(=C(C(C2)(C)C)C=O)C)C(C(C1O)O)O,0
BrCCN1C(=O)c2c(S1(=O)=O)cccc2,0
O=N(=O)c1cccc(c1C)N,0
OCC1OC(C(C1O)O)(CO)OC1OC(CO)C(C(C1O)O)O,1
ClCC1OC(C(C1O)O)(CCl)OC1OC(CO)C(C(C1O)O)Cl,1
COC(=O)C(NC(=O)C(CC(=O)O)N)Cc1ccccc1,1
OCC1(O)OCC(C(C1O)O)O,1
OCC1OC(OCC2OC(C(C2O)O)(O)CO)C(C(C1O)O)O,1
OCC1OC(OC2OC(CO)C(C(C2O)O)O)C(C(C1O)O)O,1
O=C1C=C(C)OS(=O)(=O)[N-]1.[K+],1
[O-]S(=O)(=O)NC1CCCCC1.[Na+],1
OCC1OC(Oc2cc(O)c(c(c2)O)C(=O)CCc2ccc(c(c2)O)OC)C(C(C1O)O)OC1OC(C)C(C(C1O)O)O,1
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)C,1
